SubjectIdIndex,NumWrong,NumTimeout,username,ServerTime,NumCorrect,TeamArrival,TeamCorrect,TeamDamage,TeamTotal,SI_Index,SI_DM_Index,SI_Role,SubjectId,reschuRun
914,0,0,Pilot     ,2024-10-01 14:17:59.067,0,6,2,0,8,914,332,Pilot                                             ,32,2
916,2,1,Nav       ,2024-10-01 14:24:54.577,5,9,5,2,12,916,333,Nav                                               ,31,3
917,0,0,Pilot     ,2024-10-01 14:24:54.590,0,9,5,2,12,917,333,Pilot                                             ,32,3
922,2,1,Nav       ,2024-10-01 14:47:58.553,5,9,5,0,14,922,335,Nav                                               ,31,4
923,0,0,Pilot     ,2024-10-01 14:47:58.567,0,9,5,0,14,923,335,Pilot                                             ,32,4
925,0,0,Nav       ,2024-10-01 14:55:19.047,7,9,7,0,16,925,336,Nav                                               ,31,5
926,0,0,Pilot     ,2024-10-01 14:55:19.060,0,9,7,0,16,926,336,Pilot                                             ,32,5
928,1,1,Nav       ,2024-10-01 15:02:00.297,9,11,9,0,20,928,337,Nav                                               ,31,6
929,0,0,Pilot     ,2024-10-01 15:02:00.310,0,11,9,0,20,929,337,Pilot                                             ,32,6
931,1,2,Nav       ,2024-10-01 15:09:22.827,5,12,5,0,17,931,338,Nav                                               ,31,7
932,0,1,Pilot     ,2024-10-01 15:09:22.840,0,12,5,0,17,932,338,Pilot                                             ,32,7
937,2,2,Nav       ,2024-10-02 10:16:03.533,4,9,4,0,13,937,340,Nav                                               ,33,0
938,0,0,Pilot     ,2024-10-02 10:16:03.547,0,9,4,0,13,938,340,Pilot                                             ,34,0
940,2,1,Nav       ,2024-10-02 10:24:41.440,6,10,6,0,16,940,341,Nav                                               ,33,1
941,0,1,Pilot     ,2024-10-02 10:24:41.457,0,10,6,0,16,941,341,Pilot                                             ,34,1
943,0,1,Nav       ,2024-10-02 10:31:43.413,7,9,7,2,14,943,342,Nav                                               ,33,2
944,0,0,Pilot     ,2024-10-02 10:31:43.427,0,9,7,2,14,944,342,Pilot                                             ,34,2
946,0,0,Nav       ,2024-10-02 10:38:33.563,11,11,11,0,22,946,343,Nav                                               ,33,3
947,0,0,Pilot     ,2024-10-02 10:38:33.580,0,11,11,0,22,947,343,Pilot                                             ,34,3
949,0,1,Nav       ,2024-10-02 10:50:35.793,5,7,5,0,12,949,344,Nav                                               ,33,4
950,0,1,Pilot     ,2024-10-02 10:50:35.807,0,7,5,0,12,950,344,Pilot                                             ,34,4
952,1,0,Nav       ,2024-10-02 10:57:17.630,8,9,8,0,17,952,345,Nav                                               ,33,5
953,0,0,Pilot     ,2024-10-02 10:57:17.643,0,9,8,0,17,953,345,Pilot                                             ,34,5
955,3,1,Nav       ,2024-10-02 11:03:56.147,5,10,5,0,15,955,346,Nav                                               ,33,6
956,0,0,Pilot     ,2024-10-02 11:03:56.160,0,10,5,0,15,956,346,Pilot                                             ,34,6
958,1,0,Nav       ,2024-10-02 11:11:02.190,11,13,11,0,24,958,347,Nav                                               ,33,7
959,0,0,Pilot     ,2024-10-02 11:11:02.203,0,13,11,0,24,959,347,Pilot                                             ,34,7
964,2,2,Nav       ,2024-10-03 10:47:25.890,3,8,3,0,11,964,349,Nav                                               ,35,0
965,0,0,Pilot     ,2024-10-03 10:47:25.903,0,8,3,0,11,965,349,Pilot                                             ,36,0
967,1,0,Nav       ,2024-10-03 10:55:08.170,7,8,7,0,15,967,350,Nav                                               ,35,1
968,0,0,Pilot     ,2024-10-03 10:55:08.187,0,8,7,0,15,968,350,Pilot                                             ,36,1
970,1,0,Nav       ,2024-10-03 11:02:00.607,10,11,10,0,21,970,351,Nav                                               ,35,2
971,0,0,Pilot     ,2024-10-03 11:02:00.623,0,11,10,0,21,971,351,Pilot                                             ,36,2
973,2,1,Nav       ,2024-10-03 11:09:17.753,6,9,6,0,15,973,352,Nav                                               ,35,3
974,0,0,Pilot     ,2024-10-03 11:09:17.770,0,9,6,0,15,974,352,Pilot                                             ,36,3
